"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C2,C3";"C_Radial_D5_L6_P2.5";2;"1uF";;;
2;"D1,D2,D3,D4";"Diode_DO-35_SOD27_Horizontal_RM10";4;"1N4001";;;
3;"L1,L2";"CST306-3A";2;"INDUCTOR";;;
4;"P1,P2";"Pin_Header_Straight_1x01";2;"Selector";;;
5;"P3";"Pin_Header_Straight_1x08";1;"Selector 0-7";;;
6;"P4";"Pin_Header_Straight_2x05";1;"BUS";;;
7;"R1,R5";"Resistor_Horizontal_RM10mm";2;"4.3k";;;
8;"R2,R6";"Resistor_Horizontal_RM10mm";2;"5.1k";;;
9;"R3,R11";"Resistor_Horizontal_RM10mm";2;"750";;;
10;"R4,R12";"Resistor_Horizontal_RM10mm";2;"750k";;;
11;"R7,R8,R10,R13,R14,R16";"Resistor_Horizontal_RM10mm";6;"4.7k";;;
12;"R9,R15";"Resistor_Horizontal_RM10mm";2;"10k";;;
13;"U1";"DIP-14_W7.62mm";1;"LM339";;;
14;"C1";"C_Rect_L7_W2.5_P5";1;"100nF";;;
15;"REF**,REF**,REF**,REF**";"1pin";4;"1pin";;;
